ID,Elemento,Collation,Period,Written_page_number,Description,Conservative_notes,Requires_analysis,Scanned_byConfiguration,Width_mm,Height_mm,Content,Plannedscan_ProjectID,Online_links
1,dorso,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
2,piatto anteriore,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
3,risguardia anteriore,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
4,g1r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
5,g2v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
6,g3r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
7,g4v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
8,g5r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
9,g6v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
10,g7r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
11,g8v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
12,g9r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
13,g10v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
14,1r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
15,1v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
16,2r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
17,2v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
18,3r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
19,3v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
20,4r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
21,4v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
22,5r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
23,5v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
24,6r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
25,6v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
26,g1r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
27,g2v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
28,g3r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
29,g4v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
30,g5r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
31,g6v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
32,g7r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
33,g8v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
34,g9r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
35,g10v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
36,g11r,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
37,g12v,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
38,risguardia posteriore,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
39,piatto posteriore,1,600,,test,damaged,UV,nik20,200,300,cont,dascabida,wwww.test.it/esdasasdg.jp2
