index_f,Nuovo ID,hallow_back,rilegatura_moderna,Colonna1,Collocazione,roman_converted,disambiguatore,numero_del_codice,numerazione_araba,numerazione_romana_alternativa,ulteriore_numerazione_arabaoromana,identificativo_parte,Spagnolo,note,titolo,materiale,datazione_i,datazione_i,datazione_f,lingua,fogli,altezza,ampiezza,rilegatura,tipo_rilegatura,materiale_rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,anno_restauro,dorature,disegni,miniato,colori,rosso,blue,preferred_manifest_url
1,m0001_0,,,,[I 1 3],1,_0,I,1,,,,49-50,,Psalterium com Canticis graeco-latinum,membranaceo,400,401,600,greco latino,405,270,200,rilegato,legno coperto di broccato antico,,,,,,,,,,,1,,,1,,
2,m0001_1,,,,[I 1 1],1,_1,I,1,,,appendice,50-51,17 Pergamene di 11 frammenti stralciate da alcuni codici,Vetera paralipomena mss. codd. capit. Veron.,membranaceo,400,401,1000,latino,17,270,190,fogli sciolti,,,,,,,,,,,,,,,,,
3,m0002_0,,,,[I 1 4],2,_0,II,2,,,,51-52,mancano 2 carte (tra 249 e 250 e dopo 250),Libri Regum ex versione hieronymiana et itala,membranaceo,500,501,700,,256,282,240,rilegato,cartoncino coperto di seta e oro,,,1,,,,,,,,,,,1,,
4,m0003_0,,,,[I 1 5],3,_0,III,3,,,,52,,Ex libro I Regum,membranaceo,600,601,800,,9,250,163,rilegato,pergamena,,,1,,,,,,,,,,,,,
5,m0004_0,,,,[I 1 6],4,_0,IV,4,,,f1,52,legati tra loro ,Ex libr. Levitici Deuteron. Sapientis et Danielis: Levitici Deuteronomii,membranaceo,500,501,600,,2,335,290,rilegato,pergamena,,,1,,,,,,,,,,,,,
6,m0004_1,,,,[I 1 6],4,_1,IV,4,,,f2,52,legati tra loro,Ex libr. Levitici Deuteron. Sapientis et Danielis: Sapientiae,membranaceo,400,401,600,,3,285,170,rilegato,pergamena,,,,,,,,,,,,,,,,
7,m0004_2,,,,[I 1 6],4,_2,IV,4,,,f3,52,legati tra loro,Ex libr. Levitici Deuteron. Sapientis et Danielis,membranaceo,600,601,800,,1,320,245,rilegato,pergamena,,,,,,,,,,,,,,,,
8,m0004_3,,,,[I 1 6],4,_3,IV,4,,,f4,52,legati tra loro,Ex libr. Levitici Deuteron. Sapientis et Danielis: Danielis,membranaceo,,,,,1,,,rilegato,pergamena,,,,,,,,,,,,,,,,
9,m0005_0,,,,[I 1 7],5,_0,V,5,,,,53-54,"precedente scrittura alle cc. 85-100, 103-106, 110-112","Prophetiae Isaiae, Ieremiae, Baruch, Ezech., Oseae, Amos, Ioel et aliorum accedunt Tractatus sacri varii",membranaceo,1300,1301,1400,,114,200,153,rilegato,pelle,,1,,,,,,,,,,,,,,
10,m0006_0,,,,[I 1 8],6,_0,VI,6,,30,,54-55,,Evangelia,membranaceo,400,401,600,,389,285,225,rilegato,cartoncino coperta di velluto,,,,,,1,,1,"1924, 1960",1,,,1,,,
11,m0007_0,,,,[I 1 9],7,_0,VII,7,,,,56,,Evangelium secund. Matthaeum,membranaceo,700,701,800,,25,215,145,rilegato,,,,,,,,,,,,,,,1,,
12,m0008_0,,,,[I 1 10],8,_0,VIII,7,,2,,56-57,,Evangelia per annum,membranaceo,700,701,1000,,101,300,185,rilegato,pergamena,,,,1,,,,,,,,,,1,,
13,m0009_0,,,,[I 1 11],9,_0,IX,7,,3,,57,,Evangelia per annum,membranaceo,1100,1101,1300,,136,235,140,rilegato,cartoncino,,,,1,,,,1,1957,,1,,,1,,
14,m0010_0,,,,[I 1 12],10,_0,X,8,,,,58-59,,SS. Patrum Opuscola,membranaceo,600,601,800,,158,186,121,rilegato,,,,,,,,,,,,1,,,1,,
15,m0011_0,,,,[I 1 13],11,_0,XI,9,,,,60,,Epistolae canonicae Apocalpypsis pars et liber Proverbiorum,membranaceo,700,701,1500,,227,150,120,rilegato,pergamena,,,,,,,,,,,,,,1,1,
16,m0012_0,,,,[I 1 14],12,_0,XII,10,,,,61-63,,Vetus et Novum testamentum cum Praefationibus Hieronymi et Rabani ac cum Dictionario alphabetico et alia pauca,membranaceo,1200,1201,1400,,358,234,170,rilegato,assi coperte in pelle,,,,,,1,,,,1,,1,,1,1,
17,m0013_0,,,,[I 1 15],13,_0,XIII,11,,,,63-64,cc. VII-559,Sancti Hilarii Tractatus super Psalmos,membranaceo,400,401,600,,566,272,182,rilegato,pergamena,,,,,,,,,,1,,,,1,,
18,m0014_0,,,,[I 1 16],14,_0,XIV,12,,,,64,,S. Ilarii episcopi De Trinitate libri XII,membranaceo,475,475,600,,504,313,278,rilegato,pergamena,,,,,,,,,,,,,,1,,
19,m0015_0,,,,n.d.,15,_0,XV,13,,,,64-67,,Gaius et Hieronimus,membranaceo,650,651,750,greco,137,233,195,fogli sciolti,,,1,,,,,,,,,,,1,1,,
20,m0016_0,,,,[II 1 1],16,_0,XVI,14,,,,67-70,forse 4 carte aggiuntive,S. Hieronimi Epistolae et alia quaedam,membranaceo,800,801,900,,330,348,250,rilegato,pelle,,,,,,,,,,,,1,,1,,
21,m0017_0,,,,[II 1 2],17,_0,XVII,15,,,,70,,D. Hieronimi Opera varia,membranaceo,500,501,700,greco latino,299,348,250,rilegato,assi coperte di pelle,,,,,,,,,,,,,,,,
22,m0018_0,,,,[II 1 3],18,_0,XVIII,16,,,,71-72,,D. Hieronimi et aliorum Patrum Opuscola,membranaceo,1075,1075,1100,,170,348,260,rilegato,pergamena,,,,,,,,,,,,,,1,,
23,m0019_0,,,,[II 1 4],19,_0,XIX,17,,,,73,,"S. Hieronimi Explanat. in prophet. minores, Ratherii veron. Epist. duae",membranaceo,800,801,1000,greco latino,94,253,170,rilegato,pergamena,,,,,,,,,,,,,,,,
24,m0020_0,,,,[II 1 5],20,_0,XX,18,,,,73-74,,S. Hieronimi Opera varia,membranaceo,900,901,1000,,121,325,220,rilegato,pergamena,,,,,,,,,,,,,,,,
