 ;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;palinsesto;testo_indistinto;danni_fuoco;cancro_pergamena;margini_danneggiati;danni_umidita;restaurato;anno_restauro;dorature;disegni;miniato;colori;rosso;blue
742;;;;[VII A 30];719;DCCXIX;;DCCXXIX;;;541;;Libro di magia;cartaceo;1700;1800;;44;190;144;rilegato;cartone;;;;;;;;;;;;;;;
744;;;;[VII A 32];721;DCCXXI;;DCCXXXI;;;542;;Liber ad inveniendum tesaurum;cartaceo;1600;1700;;39;180;128;rilegato;pergamena;;;;;;;;;;;;;;;
1291;;;;E 4 13;1246;MCCXLVI;;;;;840;;Benassuti Luigi (parroco di Cerea): Illustrazione del tesoro trovato in Isola Rizza nel Veronese addi 28 febbraio 1872;cartaceo;;;;56;237;190;rilegato;cartoncino;;;;;;;;;;;;;;;
1176;;;;V A 9;1136;MCXXXVI;;;;;831-832;;Corrispondenza e documenti vari;cartaceo;;;;;;;raccolte di fogli;;;;;;;;;;;;;;;;
693;;;;[II B 16];670;DCLXX;;DCLXXX;;;521;;Canobbio Alessandro: Storia della Madonna di Campagna;cartaceo;1700;1800;;27;227;180;rilegato;cartoncino;;;;;;;;;;;;;;;
703;;;;[II B 26];680;DCLXXX;;DCXC;;;524;;Da Lisca cav. Gio. B.: Vita del co. Francesco Montanari;cartaceo;1800;1800;;13;217;141;rilegato;pelle;;;;;;;;;;;;;;;
728;;;;[VII A 16];705;DCCV;;DCCXV;;;537;;Muselli m. Giuseppe: Vite del ma. Bonifacio e della co. Matilda sua figlia;cartaceo;1700;1800;;25;243;180;rilegato;cartoncino coperto di seta rossa;;;;;;;;;;;;;;;
69;;;;[V 1 14];61;LXI;59;;;;116-118;;Abbreviatio compendiosa veterum sacrorum canonum Ferrandii vel Cresconii;membranaceo;650;750;;76;200;160;rilegato;pergamena;;;1;;;;;;;;;;;1;
51;;;;[III 1 11];43;XLIII;41;;;;94;;S. Gregorii M.P. Pastoralis et alia SS. PP. Opuscola;membranaceo;800;900;;130;256;170;rilegato;pergamena;;;;;;;;;;;;;;1;1
118;;1;;[I 2 2];108;CVIII;101;;;;194-195;;Psalterium com Canticis, Antiphonis, et Hymnis cum notis musicis;membranaceo;1100;1200;;230;303;212;rilegato;;;;;;;;1;;;1;1;;1;1;1
